"id","datetime","store","weekday","sales","products_sold","clientes_that_bought","half_hour","year","month","dia"
170,2020-03-24 18:00:00,274,tuesday,961,211,11,36,2020,3,24
171,2020-03-24 18:30:00,274,tuesday,992,241,19,37,2020,3,24
172,2020-03-24 19:00:00,274,tuesday,678,142,16,38,2020,3,24
173,2020-03-24 19:30:00,274,tuesday,871,203,17,39,2020,3,24
174,2020-03-24 20:00:00,274,tuesday,724,134,12,40,2020,3,24
175,2020-03-24 20:30:00,274,tuesday,228,50,5,41,2020,3,24
176,2020-03-25 08:30:00,274,wednesday,501,116,18,17,2020,3,25
177,2020-03-25 09:00:00,274,wednesday,404,58,12,18,2020,3,25
178,2020-03-25 09:30:00,274,wednesday,814,165,21,19,2020,3,25
179,2020-03-25 10:00:00,274,wednesday,936,210,32,20,2020,3,25
180,2020-03-25 10:30:00,274,wednesday,1162,248,23,21,2020,3,25
181,2020-03-25 11:00:00,274,wednesday,679,179,19,22,2020,3,25
182,2020-03-25 11:30:00,274,wednesday,1233,260,27,23,2020,3,25
183,2020-03-25 12:00:00,274,wednesday,1063,223,31,24,2020,3,25
184,2020-03-25 12:30:00,274,wednesday,1371,306,38,25,2020,3,25
185,2020-03-25 13:00:00,274,wednesday,1030,223,30,26,2020,3,25
186,2020-03-25 13:30:00,274,wednesday,1183,240,27,27,2020,3,25
187,2020-03-25 14:00:00,274,wednesday,354,78,18,28,2020,3,25
188,2020-03-25 14:30:00,274,wednesday,813,258,17,29,2020,3,25
189,2020-03-25 15:00:00,274,wednesday,915,170,18,30,2020,3,25
190,2020-03-25 15:30:00,274,wednesday,1010,229,18,31,2020,3,25
191,2020-03-25 16:00:00,274,wednesday,1116,329,20,32,2020,3,25
192,2020-03-25 16:30:00,274,wednesday,1963,434,27,33,2020,3,25
193,2020-03-25 17:00:00,274,wednesday,938,184,21,34,2020,3,25
194,2020-03-25 17:30:00,274,wednesday,1201,264,18,35,2020,3,25
195,2020-03-25 18:00:00,274,wednesday,830,210,16,36,2020,3,25
196,2020-03-25 18:30:00,274,wednesday,734,167,16,37,2020,3,25
197,2020-03-25 19:00:00,274,wednesday,807,184,16,38,2020,3,25
198,2020-03-25 19:30:00,274,wednesday,1021,237,15,39,2020,3,25
199,2020-03-25 20:00:00,274,wednesday,936,195,11,40,2020,3,25
200,2020-03-25 20:30:00,274,wednesday,511,111,20,41,2020,3,25
201,2020-03-26 08:30:00,274,thursday,537,120,11,17,2020,3,26
202,2020-03-26 09:00:00,274,thursday,789,172,11,18,2020,3,26
203,2020-03-26 09:30:00,274,thursday,1138,243,23,19,2020,3,26
204,2020-03-26 10:00:00,274,thursday,1026,214,18,20,2020,3,26
205,2020-03-26 10:30:00,274,thursday,962,214,16,21,2020,3,26
206,2020-03-26 11:00:00,274,thursday,1030,196,14,22,2020,3,26
207,2020-03-26 11:30:00,274,thursday,2101,459,31,23,2020,3,26
208,2020-03-26 12:00:00,274,thursday,2099,407,29,24,2020,3,26
209,2020-03-26 12:30:00,274,thursday,1553,331,23,25,2020,3,26
210,2020-03-26 13:00:00,274,thursday,1737,402,26,26,2020,3,26
211,2020-03-26 13:30:00,274,thursday,1215,261,20,27,2020,3,26
212,2020-03-26 14:00:00,274,thursday,1345,224,15,28,2020,3,26
213,2020-03-26 14:30:00,274,thursday,645,141,19,29,2020,3,26
214,2020-03-26 15:00:00,274,thursday,1242,339,26,30,2020,3,26
215,2020-03-26 15:30:00,274,thursday,1425,299,24,31,2020,3,26
216,2020-03-26 16:00:00,274,thursday,1260,302,18,32,2020,3,26
217,2020-03-26 16:30:00,274,thursday,1006,206,18,33,2020,3,26
218,2020-03-26 17:00:00,274,thursday,1059,208,24,34,2020,3,26
219,2020-03-26 17:30:00,274,thursday,1483,281,28,35,2020,3,26
220,2020-03-26 18:00:00,274,thursday,701,167,15,36,2020,3,26
221,2020-03-26 18:30:00,274,thursday,848,187,17,37,2020,3,26
222,2020-03-26 19:00:00,274,thursday,1295,266,17,38,2020,3,26
223,2020-03-26 19:30:00,274,thursday,564,108,15,39,2020,3,26
224,2020-03-26 20:00:00,274,thursday,1071,287,17,40,2020,3,26
225,2020-03-26 20:30:00,274,thursday,570,136,14,41,2020,3,26
226,2020-03-27 08:30:00,274,friday,769,177,20,17,2020,3,27
227,2020-03-27 09:00:00,274,friday,621,133,18,18,2020,3,27
228,2020-03-27 09:30:00,274,friday,318,81,6,19,2020,3,27
