,ds,y
29922,2015-01-13 10:15:00,6.0
29923,2015-01-13 10:30:00,8.0
29924,2015-01-13 10:45:00,12.0
29925,2015-01-13 11:00:00,10.0
29926,2015-01-13 11:15:00,11.0
207,2015-01-13 11:30:00,13.0
208,2015-01-13 11:45:00,9.0
209,2015-01-13 12:00:00,2.0
210,2015-01-13 12:15:00,12.0
29931,2015-01-13 12:30:00,16.0
211,2015-01-13 12:45:00,9.0
212,2015-01-13 13:00:00,5.0
213,2015-01-13 13:15:00,2.0
214,2015-01-13 13:30:00,5.0
29936,2015-01-13 13:45:00,12.0
215,2015-01-13 14:00:00,8.0
216,2015-01-13 14:15:00,11.0
217,2015-01-13 14:30:00,7.0
29939,2015-01-13 14:45:00,11.0
29940,2015-01-13 15:00:00,12.0
29941,2015-01-13 15:15:00,16.0
29942,2015-01-13 15:30:00,8.0
29943,2015-01-13 15:45:00,12.0
29944,2015-01-13 16:00:00,3.0
29945,2015-01-13 16:15:00,10.0
29946,2015-01-13 16:30:00,6.0
29947,2015-01-13 16:45:00,5.0
29948,2015-01-13 17:00:00,8.0
29949,2015-01-13 17:15:00,10.0
29950,2015-01-13 17:30:00,7.0
29951,2015-01-13 17:45:00,5.0
218,2015-01-13 18:00:00,4.0
219,2015-01-13 18:15:00,7.0
220,2015-01-13 18:30:00,13.0
221,2015-01-13 18:45:00,10.0
222,2015-01-13 19:00:00,9.0
223,2015-01-13 19:15:00,14.0
224,2015-01-13 19:30:00,12.0
225,2015-01-13 19:45:00,12.0
226,2015-01-13 20:00:00,17.0
227,2015-01-13 20:15:00,17.0
228,2015-01-13 20:30:00,15.0
229,2015-01-13 20:45:00,18.0
230,2015-01-13 21:00:00,10.0
231,2015-01-13 21:15:00,16.0
232,2015-01-13 21:30:00,2.0
29874,2015-01-13 22:00:00,3.0
29875,2015-01-13 23:00:00,3.0
29963,2015-01-14 10:00:00,14.0
29964,2015-01-14 10:15:00,12.0
29965,2015-01-14 10:30:00,11.0
29966,2015-01-14 10:45:00,6.0
29967,2015-01-14 11:00:00,12.0
29968,2015-01-14 11:15:00,19.0
29969,2015-01-14 11:30:00,11.0
233,2015-01-14 11:45:00,5.0
29971,2015-01-14 12:00:00,15.0
234,2015-01-14 12:15:00,4.0
235,2015-01-14 12:30:00,6.0
29974,2015-01-14 12:45:00,20.0
236,2015-01-14 13:00:00,4.0
