datetime,store,weekday,sales,products_sold,clients_that_bought,year,month,day
2019-01-24,274,Thursday,26284,6582,876,2019,1,24
2019-01-25,274,Friday,17864,4435,553,2019,1,25
2019-01-26,274,Saturday,21402,5136,675,2019,1,26
2019-01-27,274,Sunday,8871,2088,292,2019,1,27
2019-01-28,274,Monday,23962,5918,842,2019,1,28
2019-01-29,274,Tuesday,24334,5961,846,2019,1,29
2019-01-30,274,Wednesday,20164,5202,856,2019,1,30
2019-01-31,274,Thursday,28041,7623,966,2019,1,31
2019-02-01,274,Friday,28920,7622,959,2019,2,1
2019-02-02,274,Saturday,8937,1961,289,2019,2,2
2019-02-04,274,Monday,17,6,4,2019,2,4
2019-05-27,274,Monday,0,6,6,2019,5,27
2019-05-28,274,Tuesday,0,4,4,2019,5,28
2019-05-30,274,Thursday,31142,7622,871,2019,5,30
2019-05-31,274,Friday,32160,7807,1036,2019,5,31
2019-06-01,274,Saturday,31865,7651,863,2019,6,1
2019-06-02,274,Sunday,19938,4517,524,2019,6,2
2019-06-03,274,Monday,25388,6166,837,2019,6,3
2019-06-04,274,Tuesday,28000,6992,940,2019,6,4
2019-06-05,274,Wednesday,20609,4968,785,2019,6,5
2019-06-06,274,Thursday,27974,6513,904,2019,6,6
2019-06-07,274,Friday,23540,5900,896,2019,6,7
2019-06-08,274,Saturday,27817,6513,816,2019,6,8
2019-06-09,274,Sunday,18403,4209,519,2019,6,9
2019-06-10,274,Monday,23422,5410,795,2019,6,10
2019-06-11,274,Tuesday,23340,5880,888,2019,6,11
2019-06-12,274,Wednesday,14920,3787,676,2019,6,12
2019-06-13,274,Thursday,20788,5168,835,2019,6,13
2019-06-14,274,Friday,24691,6037,864,2019,6,14
2019-06-15,274,Saturday,23912,5860,813,2019,6,15
2019-06-16,274,Sunday,16828,4158,496,2019,6,16
2019-06-17,274,Monday,21835,5034,768,2019,6,17
2019-06-18,274,Tuesday,21103,5036,783,2019,6,18
2019-06-19,274,Wednesday,15733,4080,786,2019,6,19
2019-06-20,274,Thursday,19317,4404,580,2019,6,20
2019-06-21,274,Friday,21912,5350,833,2019,6,21
2019-06-22,274,Saturday,19295,4980,702,2019,6,22
2019-06-23,274,Sunday,14943,3676,473,2019,6,23
2019-06-24,274,Monday,21447,5112,813,2019,6,24
2019-06-25,274,Tuesday,20438,5095,787,2019,6,25
2019-06-26,274,Wednesday,17263,4171,768,2019,6,26
2019-06-27,274,Thursday,20822,5370,827,2019,6,27
2019-06-28,274,Friday,23022,5420,833,2019,6,28
2019-06-29,274,Saturday,22928,5223,712,2019,6,29
2019-06-30,274,Sunday,18325,4265,515,2019,6,30
2019-07-01,274,Monday,21226,4906,770,2019,7,1
2019-07-02,274,Tuesday,22203,5609,803,2019,7,2
2019-07-03,274,Wednesday,16810,4228,727,2019,7,3
2019-07-04,274,Thursday,17076,4049,584,2019,7,4
2019-07-05,274,Friday,22603,5540,789,2019,7,5
2019-07-06,274,Saturday,22414,5471,767,2019,7,6
2019-07-07,274,Sunday,14889,3629,456,2019,7,7
2019-07-08,274,Monday,18922,4694,685,2019,7,8
2019-07-09,274,Tuesday,17242,4206,531,2019,7,9
2019-07-10,274,Wednesday,16558,4080,779,2019,7,10
2019-07-11,274,Thursday,20140,5328,785,2019,7,11
2019-07-12,274,Friday,20967,5574,805,2019,7,12
2019-07-13,274,Saturday,20783,5365,709,2019,7,13
2019-07-14,274,Sunday,16697,3883,491,2019,7,14
2019-07-15,274,Monday,18545,4629,706,2019,7,15
2019-07-16,274,Tuesday,20288,5517,812,2019,7,16
2019-07-17,274,Wednesday,18512,4733,834,2019,7,17
2019-07-18,274,Thursday,21842,5324,801,2019,7,18
2019-07-19,274,Friday,21065,5272,798,2019,7,19
2019-07-20,274,Saturday,23803,5778,779,2019,7,20
2019-07-21,274,Sunday,15881,3904,503,2019,7,21
2019-07-22,274,Monday,20246,5031,761,2019,7,22
2019-07-23,274,Tuesday,20907,5444,841,2019,7,23
2019-07-24,274,Wednesday,16726,4441,792,2019,7,24
2019-07-25,274,Thursday,23966,5958,894,2019,7,25
2019-07-26,274,Friday,24153,6009,912,2019,7,26
2019-07-27,274,Saturday,24783,5789,782,2019,7,27
2019-07-28,274,Sunday,15896,3869,514,2019,7,28
2019-07-29,274,Monday,21720,5370,825,2019,7,29
2019-07-30,274,Tuesday,20867,5338,812,2019,7,30
2019-07-31,274,Wednesday,18742,4714,825,2019,7,31
2019-08-01,274,Thursday,18924,4529,635,2019,8,1
2019-08-02,274,Friday,24152,6198,909,2019,8,2
2019-08-03,274,Saturday,24661,6023,752,2019,8,3
2019-08-04,274,Sunday,17930,4350,507,2019,8,4
2019-08-05,274,Monday,25024,5881,822,2019,8,5
2019-08-06,274,Tuesday,24272,6113,898,2019,8,6
2019-08-07,274,Wednesday,20408,5139,879,2019,8,7
2019-08-08,274,Thursday,27501,6908,996,2019,8,8
2019-08-09,274,Friday,24257,6050,882,2019,8,9
2019-08-10,274,Saturday,25957,6303,825,2019,8,10
2019-08-11,274,Sunday,16049,3927,478,2019,8,11
2019-08-12,274,Monday,20446,5070,693,2019,8,12
2019-08-13,274,Tuesday,21871,5607,837,2019,8,13
2019-08-14,274,Wednesday,17729,4497,798,2019,8,14
2019-08-15,274,Thursday,24891,5913,937,2019,8,15
2019-08-16,274,Friday,26977,6529,939,2019,8,16
2019-08-17,274,Saturday,27003,6059,822,2019,8,17
2019-08-18,274,Sunday,19772,4444,542,2019,8,18
2019-08-19,274,Monday,21208,4926,780,2019,8,19
2019-08-20,274,Tuesday,24558,5920,910,2019,8,20
2019-08-21,274,Wednesday,20172,5102,853,2019,8,21
2019-08-22,274,Thursday,24289,5860,923,2019,8,22
2019-08-23,274,Friday,27122,6485,946,2019,8,23
2019-08-24,274,Saturday,24643,5901,784,2019,8,24
2019-08-25,274,Sunday,19947,4410,559,2019,8,25
2019-08-26,274,Monday,21222,5183,822,2019,8,26
2019-08-27,274,Tuesday,21170,5437,862,2019,8,27
2019-08-28,274,Wednesday,18492,4744,870,2019,8,28
2019-08-29,274,Thursday,26998,6450,949,2019,8,29
2019-08-30,274,Friday,25424,6110,930,2019,8,30
2019-08-31,274,Saturday,27002,5979,773,2019,8,31
2019-09-01,274,Sunday,18222,4006,454,2019,9,1
2019-09-02,274,Monday,15439,3510,548,2019,9,2
2019-09-03,274,Tuesday,23058,5631,822,2019,9,3
2019-09-04,274,Wednesday,17917,4533,797,2019,9,4
2019-09-05,274,Thursday,23638,5625,893,2019,9,5
2019-09-06,274,Friday,26994,6509,877,2019,9,6
2019-09-07,274,Saturday,25839,6228,757,2019,9,7
2019-09-08,274,Sunday,18263,4043,531,2019,9,8
2019-09-09,274,Monday,21846,5172,808,2019,9,9
2019-09-10,274,Tuesday,33737,8237,959,2019,9,10
2019-09-11,274,Wednesday,23177,5941,872,2019,9,11
2019-09-12,274,Thursday,42546,10361,972,2019,9,12
2019-09-13,274,Friday,42723,10542,970,2019,9,13
2019-09-14,274,Saturday,43201,11080,852,2019,9,14
2019-09-15,274,Sunday,34359,7931,612,2019,9,15
2019-09-16,274,Monday,36781,8946,911,2019,9,16
2019-09-17,274,Tuesday,39120,9754,964,2019,9,17
2019-09-18,274,Wednesday,21076,5472,821,2019,9,18
2019-09-19,274,Thursday,40266,9908,967,2019,9,19
2019-09-20,274,Friday,34076,8530,954,2019,9,20
2019-09-21,274,Saturday,44306,11317,901,2019,9,21
2019-09-22,274,Sunday,28456,7152,535,2019,9,22
2019-09-23,274,Monday,36829,8446,920,2019,9,23
2019-09-24,274,Tuesday,25270,6563,789,2019,9,24
2019-09-25,274,Wednesday,25152,6444,905,2019,9,25
2019-09-26,274,Thursday,40733,10508,1012,2019,9,26
2019-09-27,274,Friday,37545,9724,1010,2019,9,27
2019-09-28,274,Saturday,37319,9739,822,2019,9,28
2019-09-29,274,Sunday,28480,7037,564,2019,9,29
2019-09-30,274,Monday,34186,7924,855,2019,9,30
2019-10-01,274,Tuesday,33294,8159,932,2019,10,1
2019-10-02,274,Wednesday,26017,6646,900,2019,10,2
2019-10-03,274,Thursday,40832,9941,997,2019,10,3
2019-10-04,274,Friday,39117,10062,993,2019,10,4
2019-10-05,274,Saturday,39864,10031,900,2019,10,5
2019-10-06,274,Sunday,33154,8186,623,2019,10,6
2019-10-07,274,Monday,39539,9478,889,2019,10,7
2019-10-08,274,Tuesday,34073,8362,860,2019,10,8
2019-10-09,274,Wednesday,25692,6441,918,2019,10,9
2019-10-10,274,Thursday,41741,10541,982,2019,10,10
2019-10-11,274,Friday,39924,9784,970,2019,10,11
2019-10-12,274,Saturday,37541,9367,760,2019,10,12
2019-10-13,274,Sunday,32150,7578,618,2019,10,13
2019-10-14,274,Monday,34077,8238,844,2019,10,14
2019-10-15,274,Tuesday,36618,9147,894,2019,10,15
2019-10-16,274,Wednesday,26134,6732,855,2019,10,16
2019-10-17,274,Thursday,47946,12372,1038,2019,10,17
2019-10-18,274,Friday,47673,12018,993,2019,10,18
2019-10-19,274,Saturday,47271,12181,889,2019,10,19
2019-10-20,274,Sunday,30014,7132,582,2019,10,20
2019-10-21,274,Monday,32285,7820,854,2019,10,21
2019-10-22,274,Tuesday,42858,10504,941,2019,10,22
2019-10-23,274,Wednesday,25355,6551,907,2019,10,23
2019-10-24,274,Thursday,44007,11048,1023,2019,10,24
2019-10-25,274,Friday,45272,11843,1060,2019,10,25
2019-10-26,274,Saturday,41364,10593,885,2019,10,26
2019-10-27,274,Sunday,30804,7705,591,2019,10,27
2019-10-28,274,Monday,33999,8131,867,2019,10,28
2019-10-29,274,Tuesday,37203,9327,977,2019,10,29
2019-10-30,274,Wednesday,26749,6735,895,2019,10,30
2019-10-31,274,Thursday,46645,11384,1012,2019,10,31
2019-11-01,274,Friday,44231,11313,1043,2019,11,1
2019-11-02,274,Saturday,45063,11351,831,2019,11,2
2019-11-03,274,Sunday,37369,8977,652,2019,11,3
2019-11-04,274,Monday,35989,8363,884,2019,11,4
2019-11-05,274,Tuesday,34763,8620,939,2019,11,5
2019-11-06,274,Wednesday,27447,6713,920,2019,11,6
2019-11-07,274,Thursday,46648,11627,1097,2019,11,7
2019-11-08,274,Friday,42307,10671,1032,2019,11,8
2019-11-09,274,Saturday,46811,11255,876,2019,11,9
2019-11-10,274,Sunday,38298,9333,658,2019,11,10
2019-11-11,274,Monday,35588,8313,869,2019,11,11
2019-11-12,274,Tuesday,34279,8456,939,2019,11,12
2019-11-13,274,Wednesday,26200,6585,883,2019,11,13
2019-11-14,274,Thursday,41677,10327,1053,2019,11,14
2019-11-15,274,Friday,33275,7756,585,2019,11,15
2019-11-16,274,Saturday,38944,9533,872,2019,11,16
2019-11-17,274,Sunday,27397,6570,568,2019,11,17
2019-11-18,274,Monday,35351,8397,889,2019,11,18
2019-11-19,274,Tuesday,33188,8102,928,2019,11,19
2019-11-20,274,Wednesday,27204,6247,724,2019,11,20
2019-11-21,274,Thursday,36888,9202,1028,2019,11,21
2019-11-22,274,Friday,42370,10301,1051,2019,11,22
2019-11-23,274,Saturday,39128,9644,855,2019,11,23
2019-11-24,274,Sunday,33573,7983,644,2019,11,24
2019-11-25,274,Monday,36406,8687,907,2019,11,25
2019-11-26,274,Tuesday,32327,8213,953,2019,11,26
2019-11-27,274,Wednesday,20292,5041,840,2019,11,27
2019-11-28,274,Thursday,61066,13468,1175,2019,11,28
2019-11-29,274,Friday,58582,12585,1183,2019,11,29
2019-11-30,274,Saturday,43350,10493,862,2019,11,30
2019-12-01,274,Sunday,32210,7509,579,2019,12,1
2019-12-02,274,Monday,33001,7908,861,2019,12,2
2019-12-03,274,Tuesday,35723,8834,980,2019,12,3
2019-12-04,274,Wednesday,27011,6189,910,2019,12,4
2019-12-05,274,Thursday,41472,9679,1018,2019,12,5
2019-12-06,274,Friday,48125,11273,1130,2019,12,6
2019-12-07,274,Saturday,47166,10911,935,2019,12,7
2019-12-08,274,Sunday,34622,8060,649,2019,12,8
2019-12-09,274,Monday,35072,7639,793,2019,12,9
2019-12-10,274,Tuesday,34362,7697,875,2019,12,10
2019-12-11,274,Wednesday,25064,5656,859,2019,12,11
2019-12-12,274,Thursday,45274,10707,1078,2019,12,12
2019-12-13,274,Friday,43100,9982,989,2019,12,13
2019-12-14,274,Saturday,44418,10703,869,2019,12,14
2019-12-15,274,Sunday,32098,7046,649,2019,12,15
2019-12-16,274,Monday,29284,6498,842,2019,12,16
2019-12-17,274,Tuesday,38020,8516,939,2019,12,17
2019-12-18,274,Wednesday,25349,5670,840,2019,12,18
2019-12-19,274,Thursday,46596,10921,1029,2019,12,19
2019-12-20,274,Friday,43813,10442,998,2019,12,20
2019-12-21,274,Saturday,49261,11426,962,2019,12,21
2019-12-22,274,Sunday,39238,8970,726,2019,12,22
2019-12-23,274,Monday,46771,10118,983,2019,12,23
2019-12-24,274,Tuesday,35314,7962,864,2019,12,24
2019-12-26,274,Thursday,33086,7631,848,2019,12,26
2019-12-27,274,Friday,35874,8397,892,2019,12,27
2019-12-28,274,Saturday,34774,7875,744,2019,12,28
2019-12-29,274,Sunday,20602,4660,456,2019,12,29
2019-12-30,274,Monday,34218,7797,804,2019,12,30
2019-12-31,274,Tuesday,25078,6173,624,2019,12,31
2020-01-02,274,Thursday,27404,6384,681,2020,1,2
2020-01-03,274,Friday,34026,8038,759,2020,1,3
