datetime,store,weekday,sales,products_sold,clients_that_bought,halfhour,year,month,day
2019-08-08 14:30:00,1027,Thursday,393.66,111,25,29,2019,8,8
2019-08-08 15:00:00,1027,Thursday,415.79001,139,25,30,2019,8,8
2019-08-08 15:30:00,1027,Thursday,361.85001,116,19,31,2019,8,8
2019-08-08 16:00:00,1027,Thursday,249.09,79,17,32,2019,8,8
2019-08-08 16:30:00,1027,Thursday,246.38,65,20,33,2019,8,8
2019-08-08 17:00:00,1027,Thursday,529.0700099999998,135,27,34,2019,8,8
2019-08-08 17:30:00,1027,Thursday,487.23999,121,27,35,2019,8,8
2019-08-08 18:00:00,1027,Thursday,645.97998,201,37,36,2019,8,8
2019-08-08 18:30:00,1027,Thursday,874.4600199999999,263,39,37,2019,8,8
2019-08-08 19:00:00,1027,Thursday,556.23999,149,24,38,2019,8,8
2019-08-08 19:30:00,1027,Thursday,471.70001,132,20,39,2019,8,8
2019-08-08 20:00:00,1027,Thursday,588.15002,191,20,40,2019,8,8
2019-08-08 20:30:00,1027,Thursday,320.20999,92,18,41,2019,8,8
2019-08-08 21:00:00,1027,Thursday,107.42,33,3,42,2019,8,8
2019-08-08 21:30:00,1027,Thursday,69.720001,20,1,43,2019,8,8
2019-08-09 08:00:00,1027,Friday,256.87,73,17,16,2019,8,9
2019-08-09 08:30:00,1027,Friday,332.88,76,24,17,2019,8,9
2019-08-09 09:00:00,1027,Friday,277.63,76,16,18,2019,8,9
2019-08-09 09:30:00,1027,Friday,369.79999,97,18,19,2019,8,9
2019-08-09 10:00:00,1027,Friday,271.87,89,18,20,2019,8,9
2019-08-09 10:30:00,1027,Friday,169.02,74,20,21,2019,8,9
2019-08-09 11:00:00,1027,Friday,391.60001,109,21,22,2019,8,9
2019-08-09 11:30:00,1027,Friday,424.07001,120,22,23,2019,8,9
2019-08-09 12:00:00,1027,Friday,213.62,60,16,24,2019,8,9
2019-08-09 12:30:00,1027,Friday,779.51001,152,29,25,2019,8,9
2019-08-09 13:00:00,1027,Friday,767.7000099999997,227,37,26,2019,8,9
2019-08-09 13:30:00,1027,Friday,266.31,101,17,27,2019,8,9
2019-08-09 14:00:00,1027,Friday,329.98999,106,20,28,2019,8,9
2019-08-09 14:30:00,1027,Friday,134.64,49,15,29,2019,8,9
2019-08-09 15:00:00,1027,Friday,253.35001,47,18,30,2019,8,9
2019-08-09 15:30:00,1027,Friday,242.87,92,16,31,2019,8,9
2019-08-09 16:00:00,1027,Friday,413.78,135,24,32,2019,8,9
2019-08-09 16:30:00,1027,Friday,331.5,98,24,33,2019,8,9
2019-08-09 17:00:00,1027,Friday,531.14001,113,24,34,2019,8,9
2019-08-09 17:30:00,1027,Friday,338.67999,97,22,35,2019,8,9
2019-08-09 18:00:00,1027,Friday,772.10999,218,24,36,2019,8,9
2019-08-09 18:30:00,1027,Friday,538.0700099999998,179,31,37,2019,8,9
2019-08-09 19:00:00,1027,Friday,503.69,151,28,38,2019,8,9
2019-08-09 19:30:00,1027,Friday,524.31,153,21,39,2019,8,9
2019-08-09 20:00:00,1027,Friday,292.09,86,15,40,2019,8,9
2019-08-09 20:30:00,1027,Friday,106.44,24,6,41,2019,8,9
2019-08-09 21:00:00,1027,Friday,14.23,7,2,42,2019,8,9
2019-08-10 08:00:00,1027,Saturday,51.27,13,4,16,2019,8,10
2019-08-10 08:30:00,1027,Saturday,267.10999,79,20,17,2019,8,10
2019-08-10 09:00:00,1027,Saturday,230.25999,61,13,18,2019,8,10
2019-08-10 09:30:00,1027,Saturday,226.22,67,18,19,2019,8,10
2019-08-10 10:00:00,1027,Saturday,453.17001,129,18,20,2019,8,10
2019-08-10 10:30:00,1027,Saturday,158.36,35,10,21,2019,8,10
2019-08-10 11:00:00,1027,Saturday,555.90002,121,17,22,2019,8,10
2019-08-10 11:30:00,1027,Saturday,297.67999,81,20,23,2019,8,10
2019-08-10 12:00:00,1027,Saturday,278.60999,97,22,24,2019,8,10
2019-08-10 12:30:00,1027,Saturday,747.15997,189,25,25,2019,8,10
2019-08-10 13:00:00,1027,Saturday,669.0700099999998,163,31,26,2019,8,10
2019-08-10 13:30:00,1027,Saturday,358.06,115,19,27,2019,8,10
2019-08-10 14:00:00,1027,Saturday,600.03998,146,33,28,2019,8,10
2019-08-10 14:30:00,1027,Saturday,231.53,64,16,29,2019,8,10
2019-08-10 15:00:00,1027,Saturday,458.57999,115,18,30,2019,8,10
2019-08-10 15:30:00,1027,Saturday,373.98001,83,20,31,2019,8,10
2019-08-10 16:00:00,1027,Saturday,495.81,146,22,32,2019,8,10
2019-08-10 16:30:00,1027,Saturday,357.41,117,21,33,2019,8,10
2019-08-10 17:00:00,1027,Saturday,573.15997,148,21,34,2019,8,10
2019-08-10 17:30:00,1027,Saturday,219.00999,44,9,35,2019,8,10
2019-08-10 18:00:00,1027,Saturday,394.76999,127,16,36,2019,8,10
2019-08-10 18:30:00,1027,Saturday,399.34,134,25,37,2019,8,10
2019-08-10 19:00:00,1027,Saturday,270.60001,74,15,38,2019,8,10
2019-08-10 19:30:00,1027,Saturday,250.8,80,14,39,2019,8,10
2019-08-10 20:00:00,1027,Saturday,233.12,66,13,40,2019,8,10
2019-08-10 20:30:00,1027,Saturday,381.17001,93,15,41,2019,8,10
2019-08-10 21:00:00,1027,Saturday,0.88999999,1,1,42,2019,8,10
2019-08-11 08:00:00,1027,Sunday,38.450001,11,3,16,2019,8,11
2019-08-11 08:30:00,1027,Sunday,102.93,37,8,17,2019,8,11
2019-08-11 09:00:00,1027,Sunday,167.72,53,9,18,2019,8,11
2019-08-11 09:30:00,1027,Sunday,386.92001,102,20,19,2019,8,11
2019-08-11 10:00:00,1027,Sunday,201.46001,84,11,20,2019,8,11
2019-08-11 10:30:00,1027,Sunday,212.92,71,10,21,2019,8,11
2019-08-11 11:00:00,1027,Sunday,426.01999000000006,114,13,22,2019,8,11
2019-08-11 11:30:00,1027,Sunday,341.48001,75,10,23,2019,8,11
2019-08-11 12:00:00,1027,Sunday,311.23999,82,13,24,2019,8,11
2019-08-11 12:30:00,1027,Sunday,334.94,69,12,25,2019,8,11
2019-08-11 13:00:00,1027,Sunday,184.03,47,12,26,2019,8,11
2019-08-11 13:30:00,1027,Sunday,333.07999,92,13,27,2019,8,11
2019-08-11 14:00:00,1027,Sunday,159.03999,61,9,28,2019,8,11
2019-08-11 14:30:00,1027,Sunday,140.42999,41,6,29,2019,8,11
2019-08-11 15:00:00,1027,Sunday,246.96001,60,9,30,2019,8,11
2019-08-11 15:30:00,1027,Sunday,528.69,148,21,31,2019,8,11
2019-08-11 16:00:00,1027,Sunday,147.49001,44,9,32,2019,8,11
2019-08-11 16:30:00,1027,Sunday,196.22,63,11,33,2019,8,11
2019-08-11 17:00:00,1027,Sunday,147.75999,60,14,34,2019,8,11
2019-08-11 17:30:00,1027,Sunday,357.85001,101,22,35,2019,8,11
2019-08-11 18:00:00,1027,Sunday,317.79999,81,20,36,2019,8,11
2019-08-11 18:30:00,1027,Sunday,147.92999,57,17,37,2019,8,11
2019-08-11 19:00:00,1027,Sunday,617.0700099999998,146,19,38,2019,8,11
2019-08-11 19:30:00,1027,Sunday,274.59,67,12,39,2019,8,11
2019-08-11 20:00:00,1027,Sunday,293.42999,91,17,40,2019,8,11
2019-08-11 20:30:00,1027,Sunday,19.01,9,3,41,2019,8,11
2019-08-12 08:30:00,1027,Monday,44.470001,11,3,17,2019,8,12
2019-08-12 09:00:00,1027,Monday,141.39999,66,16,18,2019,8,12
2019-08-12 09:30:00,1027,Monday,223.95,65,20,19,2019,8,12
2019-08-12 10:00:00,1027,Monday,123.24,34,15,20,2019,8,12
2019-08-12 10:30:00,1027,Monday,325.0,82,19,21,2019,8,12
2019-08-12 11:00:00,1027,Monday,211.14999,69,16,22,2019,8,12
2019-08-12 11:30:00,1027,Monday,461.51001,150,24,23,2019,8,12
2019-08-12 12:00:00,1027,Monday,267.67001,98,27,24,2019,8,12
2019-08-12 12:30:00,1027,Monday,545.14001,145,31,25,2019,8,12
2019-08-12 13:00:00,1027,Monday,393.37,119,31,26,2019,8,12
2019-08-12 13:30:00,1027,Monday,214.12,68,18,27,2019,8,12
2019-08-12 14:00:00,1027,Monday,341.39001,106,22,28,2019,8,12
2019-08-12 14:30:00,1027,Monday,328.45001,92,24,29,2019,8,12
2019-08-12 15:00:00,1027,Monday,234.48,81,21,30,2019,8,12
2019-08-12 15:30:00,1027,Monday,254.71001,68,19,31,2019,8,12
2019-08-12 16:00:00,1027,Monday,389.14999,117,25,32,2019,8,12
2019-08-12 16:30:00,1027,Monday,382.32001,103,22,33,2019,8,12
2019-08-12 17:00:00,1027,Monday,405.79001,149,26,34,2019,8,12
2019-08-12 17:30:00,1027,Monday,559.08002,176,35,35,2019,8,12
2019-08-12 18:00:00,1027,Monday,468.26999000000006,145,31,36,2019,8,12
2019-08-12 18:30:00,1027,Monday,501.38,127,33,37,2019,8,12
2019-08-12 19:00:00,1027,Monday,405.82999,116,27,38,2019,8,12
2019-08-12 19:30:00,1027,Monday,353.82999,107,22,39,2019,8,12
2019-08-12 20:00:00,1027,Monday,482.14999000000006,163,25,40,2019,8,12
2019-08-12 20:30:00,1027,Monday,414.70001,118,24,41,2019,8,12
2019-08-12 21:00:00,1027,Monday,91.989998,32,2,42,2019,8,12
2019-08-13 07:30:00,1027,Tuesday,3.9400001,2,2,15,2019,8,13
2019-08-13 08:00:00,1027,Tuesday,186.17,48,11,16,2019,8,13
2019-08-13 08:30:00,1027,Tuesday,321.73001,108,22,17,2019,8,13
2019-08-13 09:00:00,1027,Tuesday,390.23999,98,16,18,2019,8,13
2019-08-13 09:30:00,1027,Tuesday,378.09,102,24,19,2019,8,13
2019-08-13 10:00:00,1027,Tuesday,339.13,94,25,20,2019,8,13
2019-08-13 10:30:00,1027,Tuesday,316.57001,103,15,21,2019,8,13
2019-08-13 11:00:00,1027,Tuesday,91.150002,38,11,22,2019,8,13
2019-08-13 11:30:00,1027,Tuesday,484.54001,112,24,23,2019,8,13
2019-08-13 12:00:00,1027,Tuesday,232.52,78,20,24,2019,8,13
2019-08-13 12:30:00,1027,Tuesday,493.88,125,26,25,2019,8,13
2019-08-13 13:00:00,1027,Tuesday,237.35001,77,20,26,2019,8,13
2019-08-13 13:30:00,1027,Tuesday,317.0,98,23,27,2019,8,13
