datetime,store,weekday,sales,products_sold,clients_that_bought,year,month,day,halfhour
2020-05-07 11:00:00,290,Thursday,1319.47,346,21,2020,5,7,22
2020-05-07 11:30:00,290,Thursday,1245.01,346,21,2020,5,7,23
2020-05-07 12:00:00,290,Thursday,1159.58,311,9,2020,5,7,24
2020-05-07 12:30:00,290,Thursday,3.78,2,1,2020,5,7,25
2020-05-07 13:00:00,290,Thursday,7.3800000999999975,2,1,2020,5,7,26
2020-05-07 14:30:00,290,Thursday,16.32,3,2,2020,5,7,29
2020-05-07 20:00:00,290,Thursday,62.34,6,1,2020,5,7,40
2020-05-08 07:30:00,290,Friday,5.170000099999998,3,1,2020,5,8,15
2020-05-08 08:30:00,290,Friday,13.36,4,2,2020,5,8,17
2020-05-08 09:00:00,290,Friday,4.4899998,1,1,2020,5,8,18
2020-05-08 09:30:00,290,Friday,9.6700001,3,2,2020,5,8,19
2020-05-08 12:00:00,290,Friday,22.93,7,4,2020,5,8,24
2020-05-08 12:30:00,290,Friday,16.35,4,2,2020,5,8,25
2020-05-08 13:30:00,290,Friday,17.02,3,1,2020,5,8,27
2020-05-08 15:00:00,290,Friday,31.540001,11,5,2020,5,8,30
2020-05-08 15:30:00,290,Friday,13.27,3,2,2020,5,8,31
2020-05-08 16:30:00,290,Friday,4.4899998,1,1,2020,5,8,33
2020-05-08 18:30:00,290,Friday,65.800003,6,3,2020,5,8,37
2020-05-08 20:00:00,290,Friday,29.66,4,1,2020,5,8,40
2020-05-09 07:30:00,290,Saturday,9.8599997,6,4,2020,5,9,15
2020-05-09 08:00:00,290,Saturday,246.87,82,8,2020,5,9,16
2020-05-09 08:30:00,290,Saturday,885.5,246,18,2020,5,9,17
2020-05-09 09:00:00,290,Saturday,1080.8199,250,17,2020,5,9,18
2020-05-09 09:30:00,290,Saturday,856.9799800000003,154,17,2020,5,9,19
2020-05-09 10:00:00,290,Saturday,1790.87,464,27,2020,5,9,20
