,ds,y,store
668,2018-04-26 07:00:00,0,4956
669,2018-04-26 07:30:00,0,4956
670,2018-04-26 08:00:00,0,4956
671,2018-04-26 08:30:00,0,4956
672,2018-04-26 09:00:00,6,4956
673,2018-04-26 09:30:00,31,4956
674,2018-04-26 10:00:00,9,4956
675,2018-04-26 10:30:00,20,4956
676,2018-04-26 11:00:00,29,4956
677,2018-04-26 11:30:00,18,4956
678,2018-04-26 12:00:00,26,4956
679,2018-04-26 12:30:00,37,4956
680,2018-04-26 13:00:00,33,4956
681,2018-04-26 13:30:00,44,4956
682,2018-04-26 14:00:00,54,4956
683,2018-04-26 14:30:00,40,4956
684,2018-04-26 15:00:00,60,4956
685,2018-04-26 15:30:00,27,4956
686,2018-04-26 16:00:00,11,4956
687,2018-04-26 16:30:00,55,4956
688,2018-04-26 17:00:00,11,4956
689,2018-04-26 17:30:00,11,4956
690,2018-04-26 18:00:00,14,4956
691,2018-04-26 18:30:00,32,4956
692,2018-04-26 19:00:00,70,4956
693,2018-04-26 19:30:00,69,4956
694,2018-04-26 20:00:00,42,4956
695,2018-04-26 20:30:00,59,4956
696,2018-04-26 21:00:00,43,4956
697,2018-04-26 21:30:00,13,4956
