,ts,visitors
95591,2015-01-10 20:30:00,3.0
127121,2015-01-10 20:30:00,11.0
127122,2015-01-10 20:45:00,15.0
95592,2015-01-10 20:45:00,3.0
127123,2015-01-10 21:00:00,14.0
127003,2015-01-10 21:00:00,6.0
29867,2015-01-10 21:00:00,13.0
95593,2015-01-10 21:00:00,4.0
127124,2015-01-10 21:15:00,12.0
127125,2015-01-10 21:30:00,1.0
127004,2015-01-10 22:00:00,2.0
127005,2015-01-10 23:00:00,4.0
127040,2015-01-11 18:00:00,1.0
127041,2015-01-11 19:00:00,1.0
127042,2015-01-11 20:00:00,4.0
127043,2015-01-11 21:00:00,4.0
127044,2015-01-11 22:00:00,9.0
127045,2015-01-11 23:00:00,1.0
127132,2015-01-12 10:00:00,3.0
127133,2015-01-12 10:15:00,8.0
127134,2015-01-12 10:30:00,12.0
95594,2015-01-12 10:30:00,4.0
127135,2015-01-12 10:45:00,11.0
127136,2015-01-12 11:00:00,10.0
29881,2015-01-12 11:15:00,4.0
127137,2015-01-12 11:15:00,15.0
29882,2015-01-12 11:30:00,9.0
127138,2015-01-12 11:30:00,17.0
127139,2015-01-12 11:45:00,10.0
95595,2015-01-12 11:45:00,8.0
127140,2015-01-12 12:00:00,16.0
95596,2015-01-12 12:00:00,4.0
29884,2015-01-12 12:00:00,12.0
127141,2015-01-12 12:15:00,6.0
95597,2015-01-12 12:15:00,11.0
29885,2015-01-12 12:15:00,12.0
127142,2015-01-12 12:30:00,9.0
29886,2015-01-12 12:30:00,16.0
95598,2015-01-12 12:30:00,3.0
127143,2015-01-12 12:45:00,16.0
95599,2015-01-12 12:45:00,7.0
95600,2015-01-12 13:00:00,7.0
127144,2015-01-12 13:00:00,14.0
29889,2015-01-12 13:15:00,12.0
127145,2015-01-12 13:15:00,11.0
29890,2015-01-12 13:30:00,17.0
127146,2015-01-12 13:30:00,16.0
95601,2015-01-12 13:30:00,3.0
29891,2015-01-12 13:45:00,9.0
127147,2015-01-12 13:45:00,11.0
95602,2015-01-12 13:45:00,3.0
29892,2015-01-12 14:00:00,5.0
127148,2015-01-12 14:00:00,16.0
95603,2015-01-12 14:00:00,13.0
127149,2015-01-12 14:15:00,15.0
95604,2015-01-12 14:15:00,3.0
95605,2015-01-12 14:30:00,6.0
127150,2015-01-12 14:30:00,15.0
127151,2015-01-12 14:45:00,9.0
95606,2015-01-12 14:45:00,6.0
95607,2015-01-12 15:00:00,14.0
95608,2015-01-12 15:15:00,14.0
95609,2015-01-12 15:30:00,11.0
95610,2015-01-12 15:45:00,6.0
95611,2015-01-12 16:00:00,2.0
95612,2015-01-12 16:15:00,4.0
95613,2015-01-12 16:30:00,2.0
95614,2015-01-12 16:45:00,7.0
95615,2015-01-12 17:00:00,10.0
95616,2015-01-12 17:15:00,9.0
127152,2015-01-12 17:30:00,6.0
95617,2015-01-12 17:30:00,1.0
127153,2015-01-12 17:45:00,10.0
